Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2011-12,21,GSW,NBA,SG,66,1608,14.9,0.545,0.373,0.127,1.7,9.6,5.7,14.2,1.6,1.0,12.0,24.7,1.4,0.3,1.7,0.05,0.3,-1.7,-1.4,0.2
2012-13,22,GSW,NBA,SG,82,2936,12.7,0.533,0.437,0.13,1.2,10.0,5.7,10.1,1.5,1.2,11.0,21.8,1.7,2.6,4.3,0.07,-0.1,-0.2,-0.3,1.3
2013-14,23,GSW,NBA,SG,81,2868,14.3,0.555,0.425,0.147,1.5,7.9,4.7,10.2,1.3,1.0,9.2,22.6,3.5,3.2,6.7,0.112,0.9,-0.1,0.8,2.0
2014-15,24,GSW,NBA,SG,77,2455,20.8,0.591,0.42,0.197,1.2,9.4,5.4,14.6,1.7,1.8,9.5,27.6,5.7,3.1,8.8,0.172,4.5,-0.1,4.4,4.0
2015-16,25,GSW,NBA,SG,80,2666,18.6,0.597,0.469,0.159,1.5,10.3,6.2,9.8,1.1,1.4,8.5,26.3,5.5,2.6,8.0,0.144,3.4,-1.6,1.8,2.5
2016-17,26,GSW,NBA,SG,78,2649,17.4,0.592,0.47,0.158,2.2,9.2,5.9,9.3,1.2,1.2,8.0,26.1,4.2,2.9,7.1,0.129,2.4,-1.6,0.8,1.9
2017-18,27,GSW,NBA,SG,73,2506,16.0,0.598,0.442,0.083,1.5,10.3,6.2,11.2,1.1,1.1,9.5,23.7,3.1,1.8,4.9,0.094,1.7,-2.1,-0.4,1.0
2018-19,28,GSW,NBA,SG,78,2652,16.6,0.571,0.427,0.113,1.6,10.1,6.0,10.5,1.5,1.5,7.2,25.6,2.9,2.3,5.3,0.095,1.1,-1.4,-0.3,1.2
2021-22,31,GSW,NBA,SG,32,941,16.7,0.547,0.517,0.089,1.8,12.4,7.3,16.1,0.8,1.7,6.7,29.6,0.6,1.2,1.8,0.091,2.6,-1.6,1.1,0.7
2022-23,32,GSW,NBA,SF,69,2279,14.7,0.576,0.584,0.105,1.9,11.7,6.9,11.0,1.0,1.1,8.6,26.4,1.2,1.9,3.1,0.066,1.5,-1.7,-0.3,1.0